date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
10/29/1923,Argentina,South America,Paraguay,South America,Paraguay,Gerardo Rivas,10,FALSE,FALSE
10/29/1923,Argentina,South America,Paraguay,South America,Argentina,Blas Saruppo,18,FALSE,FALSE
10/29/1923,Argentina,South America,Paraguay,South America,Paraguay,Agustín Zelada,49,FALSE,FALSE
10/29/1923,Argentina,South America,Paraguay,South America,Argentina,Vicente Aguirre,58,FALSE,FALSE
10/29/1923,Argentina,South America,Paraguay,South America,Paraguay,Luis Fretes,65,FALSE,FALSE
10/29/1923,Argentina,South America,Paraguay,South America,Argentina,Vicente Aguirre,77,FALSE,FALSE
10/29/1923,Argentina,South America,Paraguay,South America,Argentina,Vicente Aguirre,86,FALSE,FALSE
11/4/1923,Uruguay,South America,Paraguay,South America,Uruguay,Héctor Scarone,11,FALSE,FALSE
11/4/1923,Uruguay,South America,Paraguay,South America,Uruguay,Pedro Petrone,87,FALSE,FALSE
11/11/1923,Brazil,South America,Paraguay,South America,Paraguay,Ildefonso López,56,FALSE,FALSE
11/18/1923,Argentina,South America,Brazil,South America,Argentina,Cesáreo Onzari,11,FALSE,FALSE
11/18/1923,Argentina,South America,Brazil,South America,Brazil,Nilo Braga,15,FALSE,FALSE
11/18/1923,Argentina,South America,Brazil,South America,Argentina,Blas Saruppo,76,FALSE,FALSE
11/25/1923,Uruguay,South America,Brazil,South America,Uruguay,Pedro Petrone,56,FALSE,FALSE
11/25/1923,Uruguay,South America,Brazil,South America,Brazil,Nilo Braga,59,FALSE,FALSE
11/25/1923,Uruguay,South America,Brazil,South America,Uruguay,José Cea,75,FALSE,FALSE
12/2/1923,Uruguay,South America,Argentina,South America,Uruguay,Pedro Petrone,28,FALSE,FALSE
12/2/1923,Uruguay,South America,Argentina,South America,Uruguay,Pascual Somma,88,FALSE,FALSE
10/19/1924,Uruguay,South America,Chile,South America,Uruguay,Pedro Petrone,40,FALSE,FALSE
10/19/1924,Uruguay,South America,Chile,South America,Uruguay,Pedro Petrone,53,FALSE,FALSE
10/19/1924,Uruguay,South America,Chile,South America,Uruguay,Pedro Zingone,73,FALSE,FALSE
10/19/1924,Uruguay,South America,Chile,South America,Uruguay,Ángel Romano,78,FALSE,FALSE
10/19/1924,Uruguay,South America,Chile,South America,Uruguay,Pedro Petrone,88,FALSE,FALSE
10/25/1924,Argentina,South America,Chile,South America,Argentina,Gabino Sosa,5,FALSE,FALSE
10/25/1924,Argentina,South America,Chile,South America,Argentina,Juan Loyarte,78,FALSE,FALSE
10/26/1924,Uruguay,South America,Paraguay,South America,Uruguay,Pedro Petrone,28,FALSE,FALSE
10/26/1924,Uruguay,South America,Paraguay,South America,Uruguay,Ángel Romano,37,FALSE,FALSE
10/26/1924,Uruguay,South America,Paraguay,South America,Uruguay,José Cea,53,FALSE,FALSE
10/26/1924,Uruguay,South America,Paraguay,South America,Paraguay,Paisano Urbita Sosa,77,FALSE,FALSE
11/1/1924,Chile,South America,Paraguay,South America,Chile,David Arellano,6,FALSE,FALSE
11/1/1924,Chile,South America,Paraguay,South America,Paraguay,Ildefonso López,15,FALSE,FALSE
11/1/1924,Chile,South America,Paraguay,South America,Paraguay,Ildefonso López,33,FALSE,FALSE
11/1/1924,Chile,South America,Paraguay,South America,Paraguay,Gerardo Rivas,52,FALSE,FALSE
11/29/1925,Argentina,South America,Paraguay,South America,Argentina,Manuel Seoane,2,FALSE,FALSE
11/29/1925,Argentina,South America,Paraguay,South America,Argentina,Martin Sánchez,72,FALSE,FALSE
12/6/1925,Brazil,South America,Paraguay,South America,Brazil,Anfilogino Marques,16,FALSE,FALSE
12/6/1925,Brazil,South America,Paraguay,South America,Brazil,Arthur Friedenreich,18,FALSE,FALSE
12/6/1925,Brazil,South America,Paraguay,South America,Paraguay,Gerardo Rivas,25,FALSE,FALSE
12/6/1925,Brazil,South America,Paraguay,South America,Brazil,Severino Da Silva,30,FALSE,FALSE
12/6/1925,Brazil,South America,Paraguay,South America,Brazil,Severino Da Silva,52,FALSE,FALSE
12/6/1925,Brazil,South America,Paraguay,South America,Paraguay,Gerardo Rivas,55,FALSE,FALSE
12/6/1925,Brazil,South America,Paraguay,South America,Brazil,Nilo Braga,72,FALSE,FALSE
12/13/1925,Argentina,South America,Brazil,South America,Brazil,Nilo Braga,22,FALSE,FALSE
12/13/1925,Argentina,South America,Brazil,South America,Argentina,Manuel Seoane,41,FALSE,FALSE
12/13/1925,Argentina,South America,Brazil,South America,Argentina,Manuel Seoane,48,FALSE,FALSE
12/13/1925,Argentina,South America,Brazil,South America,Argentina,Alfredo Garasini,72,FALSE,FALSE
12/13/1925,Argentina,South America,Brazil,South America,Argentina,Manuel Seoane,74,FALSE,FALSE
12/17/1925,Brazil,South America,Paraguay,South America,Brazil,Nilo Braga,30,FALSE,FALSE
12/17/1925,Brazil,South America,Paraguay,South America,Brazil,Severino Da Silva,57,FALSE,FALSE
12/17/1925,Brazil,South America,Paraguay,South America,Paraguay,Luis Fretes,58,FALSE,FALSE
12/17/1925,Brazil,South America,Paraguay,South America,Brazil,Severino Da Silva,61,FALSE,FALSE
12/20/1925,Argentina,South America,Paraguay,South America,Paraguay,Manuel Fleitas Solich,15,FALSE,FALSE
12/20/1925,Argentina,South America,Paraguay,South America,Argentina,Domingo Tarasconi,22,FALSE,FALSE
12/20/1925,Argentina,South America,Paraguay,South America,Argentina,Manuel Seoane,32,FALSE,FALSE
12/20/1925,Argentina,South America,Paraguay,South America,Argentina,Juan Carlos Irurieta,63,FALSE,FALSE
12/25/1925,Argentina,South America,Brazil,South America,Brazil,Arthur Friedenreich,27,FALSE,FALSE
12/25/1925,Argentina,South America,Brazil,South America,Brazil,Nilo Braga,30,FALSE,FALSE
12/25/1925,Argentina,South America,Brazil,South America,Argentina,Antonio Cerroti,41,FALSE,FALSE
12/25/1925,Argentina,South America,Brazil,South America,Argentina,Manuel Seoane,55,FALSE,FALSE
10/12/1926,Chile,South America,Bolivia,South America,Chile,Manuel Ramírez,10,FALSE,FALSE
10/12/1926,Chile,South America,Bolivia,South America,Chile,Guillermo Subiabre,14,FALSE,FALSE
10/12/1926,Chile,South America,Bolivia,South America,Chile,David Arellano,15,FALSE,FALSE
