date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
9/21/1996,Honduras,North America,Mexico,North America,Honduras,Carlos Pavón,50,FALSE,FALSE
9/21/1996,Honduras,North America,Mexico,North America,Mexico,Ramón Ramírez,63,FALSE,FALSE
9/21/1996,Honduras,North America,Mexico,North America,Honduras,Eduardo Bennett,82,FALSE,TRUE
9/21/1996,India,Asia,Philippines,Asia,India,Raman Vijayan,81,FALSE,FALSE
9/21/1996,India,Asia,Philippines,Asia,India,Bruno Coutinho,85,FALSE,FALSE
9/22/1996,Panama,North America,Cuba,North America,Cuba,Eduardo Sebrango,42,FALSE,FALSE
9/22/1996,Panama,North America,Cuba,North America,Panama,Jorge Dely Valdés,55,FALSE,FALSE
9/22/1996,Panama,North America,Cuba,North America,Cuba,Eduardo Sebrango,70,FALSE,FALSE
9/22/1996,Panama,North America,Cuba,North America,Cuba,Manuel Bobadilla,88,FALSE,FALSE
9/22/1996,Slovakia,Europe,Malta,Europe,Slovakia,Dušan Tittel,13,FALSE,FALSE
9/22/1996,Slovakia,Europe,Malta,Europe,Slovakia,Július Šimon,15,FALSE,FALSE
9/22/1996,Slovakia,Europe,Malta,Europe,Slovakia,Marian Zeman,37,FALSE,FALSE
9/22/1996,Slovakia,Europe,Malta,Europe,Slovakia,Jaroslav Timko,56,FALSE,FALSE
9/22/1996,Slovakia,Europe,Malta,Europe,Slovakia,Peter Dubovský,59,FALSE,FALSE
9/22/1996,Slovakia,Europe,Malta,Europe,Slovakia,Dušan Tittel,90,FALSE,FALSE
9/23/1996,Qatar,Asia,Philippines,Asia,Qatar,Mohammed Salem Al-Enazi,19,FALSE,FALSE
9/23/1996,Qatar,Asia,Philippines,Asia,Qatar,Mahmoud Soufi,29,FALSE,FALSE
9/23/1996,Qatar,Asia,Philippines,Asia,Qatar,Adel Khamis Al Noobi,30,FALSE,FALSE
9/23/1996,Qatar,Asia,Philippines,Asia,Qatar,Abdul Jaloof,38,FALSE,FALSE
9/23/1996,Qatar,Asia,Philippines,Asia,Qatar,Mohammed Salem Al-Enazi,41,FALSE,FALSE
9/23/1996,Saint Vincent and the Grenadines,North America,Jamaica,North America,Jamaica,Paul Young,20,FALSE,FALSE
9/23/1996,Saint Vincent and the Grenadines,North America,Jamaica,North America,Jamaica,Paul Young,41,FALSE,FALSE
9/23/1996,Saint Vincent and the Grenadines,North America,Jamaica,North America,Saint Vincent and the Grenadines,Christopher Harry,82,FALSE,TRUE
9/24/1996,Sri Lanka,Asia,India,Asia,Sri Lanka,Anton Silva,14,FALSE,FALSE
9/24/1996,Sri Lanka,Asia,India,Asia,India,Carlton Chapman,39,FALSE,FALSE
9/26/1996,Philippines,Asia,Sri Lanka,Asia,Sri Lanka,Chaminda Steinwall,28,FALSE,FALSE
9/26/1996,Philippines,Asia,Sri Lanka,Asia,Sri Lanka,Roshan Pereta,55,FALSE,FALSE
9/26/1996,Philippines,Asia,Sri Lanka,Asia,Sri Lanka,Roshan Pereta,80,FALSE,FALSE
9/27/1996,Qatar,Asia,India,Asia,Qatar,Mohammed Salem Al-Enazi,27,FALSE,FALSE
9/27/1996,Qatar,Asia,India,Asia,Qatar,Mohammed Salem Al-Enazi,40,FALSE,FALSE
9/27/1996,Qatar,Asia,India,Asia,Qatar,Zamel Al Kuwari,42,FALSE,FALSE
9/27/1996,Qatar,Asia,India,Asia,Qatar,Waleed Bakhit Maayof,47,FALSE,FALSE
9/27/1996,Qatar,Asia,India,Asia,Qatar,Mahmoud Soufi,52,FALSE,FALSE
9/27/1996,Qatar,Asia,India,Asia,Qatar,Mubarak Mustafa,61,FALSE,FALSE
10/5/1996,Estonia,Europe,Belarus,Europe,Estonia,Sergei Hohlov-Simson,52,FALSE,FALSE
10/5/1996,Latvia,Europe,Scotland,Europe,Scotland,John Collins,18,FALSE,FALSE
10/5/1996,Latvia,Europe,Scotland,Europe,Scotland,Darren Jackson,80,FALSE,FALSE
10/5/1996,Lithuania,Europe,Iceland,Europe,Lithuania,Edgaras Jankauskas,22,FALSE,TRUE
10/5/1996,Lithuania,Europe,Iceland,Europe,Lithuania,Vaidotas Šlekys,74,FALSE,FALSE
10/5/1996,Moldova,Europe,Italy,Europe,Italy,Fabrizio Ravanelli,8,FALSE,FALSE
10/5/1996,Moldova,Europe,Italy,Europe,Moldova,Alexandru Curtianu,12,FALSE,FALSE
10/5/1996,Moldova,Europe,Italy,Europe,Italy,Pierluigi Casiraghi,67,FALSE,FALSE
10/5/1996,Moldova,Europe,Italy,Europe,Italy,Fabrizio Ravanelli,87,FALSE,FALSE
10/5/1996,Northern Ireland,Europe,Armenia,Asia,Armenia,Éric Assadourian,8,FALSE,FALSE
10/5/1996,Northern Ireland,Europe,Armenia,Asia,Northern Ireland,Neil Lennon,29,FALSE,FALSE
10/5/1996,Ukraine,Europe,Portugal,Europe,Ukraine,Serhiy Popov,4,FALSE,FALSE
10/5/1996,Ukraine,Europe,Portugal,Europe,Portugal,João Vieira Pinto,83,FALSE,FALSE
10/5/1996,Ukraine,Europe,Portugal,Europe,Ukraine,Yuriy Maksymov,88,FALSE,FALSE
10/5/1996,Wales,Europe,Netherlands,Europe,Wales,Dean Saunders,17,FALSE,FALSE
10/5/1996,Wales,Europe,Netherlands,Europe,Netherlands,Pierre van Hooijdonk,72,FALSE,FALSE
10/5/1996,Wales,Europe,Netherlands,Europe,Netherlands,Pierre van Hooijdonk,75,FALSE,FALSE
10/5/1996,Wales,Europe,Netherlands,Europe,Netherlands,Ronald de Boer,79,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Savo Milošević,6,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Slaviša Jokanović,11,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Faroe Islands,Jan Allan Müller,28,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Predrag Mijatović,29,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Savo Milošević,37,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Savo Milošević,45,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Slaviša Jokanović,57,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Vladimir Jugović,57,FALSE,FALSE
10/6/1996,Faroe Islands,Europe,Serbia,Europe,Serbia,Dragan Stojković,90,FALSE,TRUE
10/6/1996,Finland,Europe,Switzerland,Europe,Switzerland,Massimo Lombardo,14,FALSE,FALSE
10/6/1996,Finland,Europe,Switzerland,Europe,Switzerland,Ciriaco Sforza,34,FALSE,FALSE
10/6/1996,Finland,Europe,Switzerland,Europe,Finland,Antti Sumiala,41,FALSE,TRUE
10/6/1996,Finland,Europe,Switzerland,Europe,Switzerland,Murat Yakin,54,FALSE,FALSE
10/6/1996,Finland,Europe,Switzerland,Europe,Finland,Joonas Kolkka,77,FALSE,FALSE
10/6/1996,Panama,North America,El Salvador,North America,Panama,Juan Carlos Cubillas,43,FALSE,FALSE
10/6/1996,Panama,North America,El Salvador,North America,El Salvador,Raúl Díaz Arce,51,FALSE,FALSE
10/6/1996,Trinidad and Tobago,North America,Guatemala,North America,Guatemala,Rudy Ramírez,22,FALSE,FALSE
10/6/1996,Trinidad and Tobago,North America,Guatemala,North America,Trinidad and Tobago,Jerren Nixon,37,FALSE,FALSE
10/8/1996,Bosnia and Herzegovina,Europe,Croatia,Europe,Croatia,Slaven Bilić,13,FALSE,FALSE
10/8/1996,Bosnia and Herzegovina,Europe,Croatia,Europe,Bosnia and Herzegovina,Hasan Salihamidžić,25,FALSE,FALSE
10/8/1996,Bosnia and Herzegovina,Europe,Croatia,Europe,Croatia,Goran Vlaović,32,FALSE,FALSE
10/8/1996,Bosnia and Herzegovina,Europe,Croatia,Europe,Croatia,Alen Bokšić,64,FALSE,FALSE
10/8/1996,Bosnia and Herzegovina,Europe,Croatia,Europe,Croatia,Alen Bokšić,85,FALSE,FALSE
10/8/1996,Luxembourg,Europe,Bulgaria,Europe,Bulgaria,Krasimir Balakov,14,FALSE,TRUE
10/8/1996,Luxembourg,Europe,Bulgaria,Europe,Luxembourg,Robby Langers,20,FALSE,FALSE
10/8/1996,Luxembourg,Europe,Bulgaria,Europe,Bulgaria,Emil Kostadinov,37,FALSE,FALSE
10/8/1996,Uruguay,South America,Bolivia,South America,Uruguay,Eber Moas,72,FALSE,FALSE
10/9/1996,Albania,Europe,Portugal,Europe,Portugal,Luís Figo,10,FALSE,FALSE
10/9/1996,Albania,Europe,Portugal,Europe,Portugal,Hélder Cristóvão,75,FALSE,FALSE
10/9/1996,Albania,Europe,Portugal,Europe,Portugal,Rui Costa,88,FALSE,FALSE
10/9/1996,Armenia,Asia,Germany,Europe,Germany,Thomas Häßler,20,FALSE,FALSE
10/9/1996,Armenia,Asia,Germany,Europe,Germany,Jürgen Klinsmann,26,FALSE,FALSE
10/9/1996,Armenia,Asia,Germany,Europe,Germany,Thomas Häßler,39,FALSE,FALSE
10/9/1996,Armenia,Asia,Germany,Europe,Germany,Fredi Bobić,69,FALSE,FALSE
10/9/1996,Armenia,Asia,Germany,Europe,Germany,Stefan Kuntz,81,FALSE,FALSE
10/9/1996,Armenia,Asia,Germany,Europe,Armenia,Karapet Mikaelyan,85,FALSE,FALSE
10/9/1996,Belarus,Europe,Latvia,Europe,Latvia,Mihails Zemļinskis,16,FALSE,FALSE
10/9/1996,Belarus,Europe,Latvia,Europe,Belarus,Uladzimir Makowski,78,FALSE,FALSE
10/9/1996,Denmark,Europe,Greece,Europe,Denmark,Theodoros Zagorakis,25,TRUE,FALSE
10/9/1996,Denmark,Europe,Greece,Europe,Greece,Giorgos Donis,35,FALSE,FALSE
10/9/1996,Denmark,Europe,Greece,Europe,Denmark,Brian Laudrup,52,FALSE,FALSE
10/9/1996,Ecuador,South America,Colombia,South America,Colombia,Faustino Asprilla,72,FALSE,FALSE
10/9/1996,England,Europe,Poland,Europe,Poland,Marek Citko,7,FALSE,FALSE
10/9/1996,England,Europe,Poland,Europe,England,Alan Shearer,25,FALSE,FALSE
10/9/1996,England,Europe,Poland,Europe,England,Alan Shearer,38,FALSE,FALSE
10/9/1996,Iceland,Europe,Romania,Europe,Romania,Dorinel Munteanu,21,FALSE,FALSE
10/9/1996,Iceland,Europe,Romania,Europe,Romania,Gheorghe Hagi,60,FALSE,FALSE
10/9/1996,Iceland,Europe,Romania,Europe,Romania,Gheorghe Popescu,75,FALSE,FALSE
10/9/1996,Iceland,Europe,Romania,Europe,Romania,Dan Petrescu,81,FALSE,FALSE
10/9/1996,Israel,Asia,Russia,Europe/Asia,Israel,Gadi Brumer,65,FALSE,FALSE
10/9/1996,Israel,Asia,Russia,Europe/Asia,Russia,Igor Kolyvanov,82,FALSE,FALSE
10/9/1996,Italy,Europe,Georgia,Asia,Italy,Fabrizio Ravanelli,43,FALSE,FALSE
10/9/1996,Lithuania,Europe,Liechtenstein,Europe,Lithuania,Edgaras Jankauskas,43,FALSE,FALSE
10/9/1996,Lithuania,Europe,Liechtenstein,Europe,Liechtenstein,Harry Zech,53,FALSE,FALSE
10/9/1996,Lithuania,Europe,Liechtenstein,Europe,Lithuania,Arminas Narbekovas,55,FALSE,FALSE
10/9/1996,Norway,Europe,Hungary,Europe,Norway,Kjetil Rekdal,83,FALSE,FALSE
10/9/1996,Norway,Europe,Hungary,Europe,Norway,Kjetil Rekdal,89,FALSE,FALSE
10/9/1996,Norway,Europe,Hungary,Europe,Norway,Kjetil Rekdal,90,FALSE,TRUE
10/9/1996,Paraguay,South America,Chile,South America,Chile,Javier Margas,22,FALSE,FALSE
10/9/1996,Paraguay,South America,Chile,South America,Paraguay,Carlos Gamarra,24,FALSE,FALSE
10/9/1996,Paraguay,South America,Chile,South America,Paraguay,Catalino Rivarola,63,FALSE,FALSE
10/9/1996,Republic of Ireland,Europe,North Macedonia,Europe,Republic of Ireland,Jason McAteer,8,FALSE,FALSE
10/9/1996,Republic of Ireland,Europe,North Macedonia,Europe,Republic of Ireland,Tony Cascarino,46,FALSE,FALSE
10/9/1996,Republic of Ireland,Europe,North Macedonia,Europe,Republic of Ireland,Tony Cascarino,70,FALSE,FALSE
10/9/1996,San Marino,Europe,Belgium,Europe,Belgium,Gert Verheyen,11,FALSE,FALSE
10/9/1996,San Marino,Europe,Belgium,Europe,Belgium,Luc Nilis,20,FALSE,FALSE
10/9/1996,San Marino,Europe,Belgium,Europe,Belgium,Luc Nilis,49,FALSE,FALSE
10/9/1996,Sweden,Europe,Austria,Europe,Austria,Andreas Herzog,11,FALSE,FALSE
10/9/1996,Venezuela,South America,Argentina,South America,Venezuela,Giovanni Savarese,7,FALSE,FALSE
10/9/1996,Venezuela,South America,Argentina,South America,Argentina,Ariel Ortega,35,FALSE,FALSE
10/9/1996,Venezuela,South America,Argentina,South America,Argentina,Juan Pablo Sorín,65,FALSE,FALSE
10/9/1996,Venezuela,South America,Argentina,South America,Argentina,Diego Simeone,77,FALSE,FALSE
10/9/1996,Venezuela,South America,Argentina,South America,Argentina,Hugo Morales,86,FALSE,FALSE
10/9/1996,Venezuela,South America,Argentina,South America,Venezuela,Rafael Dudamel,87,FALSE,FALSE
10/9/1996,Venezuela,South America,Argentina,South America,Argentina,Jose Albornoz,90,FALSE,FALSE
10/10/1996,Canada,North America,Cuba,North America,Canada,Alex Bunbury,29,FALSE,FALSE
10/10/1996,Canada,North America,Cuba,North America,Canada,Paul Peschisolido,53,FALSE,FALSE
10/13/1996,Canada,North America,Cuba,North America,Canada,Paul Peschisolido,15,FALSE,FALSE
10/13/1996,Canada,North America,Cuba,North America,Canada,Nick Dasovic,79,FALSE,FALSE
10/13/1996,Saint Vincent and the Grenadines,North America,Honduras,North America,Honduras,Nicolás Suazo,7,FALSE,FALSE
10/13/1996,Saint Vincent and the Grenadines,North America,Honduras,North America,Honduras,Christian Santamaría,23,FALSE,FALSE
10/13/1996,Saint Vincent and the Grenadines,North America,Honduras,North America,Honduras,Christian Santamaría,42,FALSE,FALSE
10/13/1996,Saint Vincent and the Grenadines,North America,Honduras,North America,Saint Vincent and the Grenadines,James Chewitt,62,FALSE,FALSE
10/13/1996,Saint Vincent and the Grenadines,North America,Honduras,North America,Honduras,Nicolás Suazo,62,FALSE,FALSE
10/16/1996,Mexico,North America,Jamaica,North America,Mexico,Luís Roberto Alves,44,FALSE,FALSE
10/16/1996,Mexico,North America,Jamaica,North America,Mexico,Carlos Hermosillo,55,FALSE,FALSE
10/16/1996,Mexico,North America,Jamaica,North America,Jamaica,Walter Boyd,70,FALSE,FALSE
10/23/1996,Slovakia,Europe,Faroe Islands,Europe,Slovakia,Peter Dubovský,20,FALSE,FALSE
10/23/1996,Slovakia,Europe,Faroe Islands,Europe,Slovakia,Tibor Jančula,44,FALSE,FALSE
10/23/1996,Slovakia,Europe,Faroe Islands,Europe,Slovakia,Július Šimon,57,FALSE,TRUE
10/27/1996,Tahiti,Oceania,Australia,Oceania,Australia,Ernie Tapai,5,FALSE,FALSE
10/27/1996,Tahiti,Oceania,Australia,Oceania,Australia,Paul Trimboli,20,FALSE,FALSE
10/27/1996,Tahiti,Oceania,Australia,Oceania,Australia,Kris Trajanovski,25,FALSE,FALSE
10/27/1996,Tahiti,Oceania,Australia,Oceania,Australia,Kris Trajanovski,28,FALSE,FALSE
10/27/1996,Tahiti,Oceania,Australia,Oceania,Australia,Kris Trajanovski,44,FALSE,FALSE
10/27/1996,Tahiti,Oceania,Australia,Oceania,Australia,Kris Trajanovski,89,FALSE,FALSE
10/30/1996,Mexico,North America,Saint Vincent and the Grenadines,North America,Mexico,Benjamín Galindo,20,FALSE,FALSE
10/30/1996,Mexico,North America,Saint Vincent and the Grenadines,North America,Mexico,Benjamín Galindo,29,FALSE,FALSE
10/30/1996,Mexico,North America,Saint Vincent and the Grenadines,North America,Mexico,Luís Roberto Alves,48,FALSE,FALSE
10/30/1996,Mexico,North America,Saint Vincent and the Grenadines,North America,Mexico,Carlos Hermosillo,70,FALSE,FALSE
10/30/1996,Mexico,North America,Saint Vincent and the Grenadines,North America,Mexico,Dexter Walker,88,FALSE,FALSE
10/30/1996,Mexico,North America,Saint Vincent and the Grenadines,North America,Saint Vincent and the Grenadines,Kendall Velox,88,FALSE,FALSE
11/1/1996,Australia,Oceania,Tahiti,Oceania,Australia,Robbie Hooker,11,FALSE,FALSE
11/1/1996,Australia,Oceania,Tahiti,Oceania,Australia,Kris Trajanovski,21,FALSE,FALSE
11/1/1996,Australia,Oceania,Tahiti,Oceania,Australia,Rupena Raumati,31,TRUE,FALSE
11/1/1996,Australia,Oceania,Tahiti,Oceania,Australia,Kris Trajanovski,36,FALSE,FALSE
11/1/1996,Australia,Oceania,Tahiti,Oceania,Australia,Kris Trajanovski,54,FALSE,FALSE
11/3/1996,Canada,North America,El Salvador,North America,Canada,Alex Bunbury,65,FALSE,FALSE
11/3/1996,United States,North America,Guatemala,North America,United States,Eric Wynalda,54,FALSE,FALSE
11/3/1996,United States,North America,Guatemala,North America,United States,Brian McBride,90,FALSE,FALSE
11/6/1996,Mexico,North America,Honduras,North America,Mexico,Benjamín Galindo,32,FALSE,FALSE
11/6/1996,Mexico,North America,Honduras,North America,Mexico,Carlos Hermosillo,35,FALSE,FALSE
11/6/1996,Mexico,North America,Honduras,North America,Mexico,Luís Roberto Alves,45,FALSE,FALSE
11/6/1996,Mexico,North America,Honduras,North America,Honduras,Enrique Reneau,69,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Egypt,Ali Maher,1,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Egypt,Ahmed Hassan,11,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Egypt,Ali Maher,15,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Namibia,Eliphas Shivute,24,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Egypt,Ibrahim Hassan,34,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Egypt,Ali Maher,69,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Egypt,Hossam Hassan,72,FALSE,FALSE
11/8/1996,Egypt,Africa,Namibia,Africa,Egypt,Hossam Hassan,83,FALSE,FALSE
11/9/1996,Albania,Europe,Armenia,Asia,Albania,Bajram Franholli,57,FALSE,FALSE
11/9/1996,Albania,Europe,Armenia,Asia,Armenia,Hakob Ter-Petrosyan,90,FALSE,FALSE
11/9/1996,Austria,Europe,Latvia,Europe,Austria,Toni Polster,43,FALSE,FALSE
11/9/1996,Austria,Europe,Latvia,Europe,Latvia,Vīts Rimkus,44,FALSE,FALSE
11/9/1996,Austria,Europe,Latvia,Europe,Austria,Andreas Herzog,73,FALSE,FALSE
11/9/1996,Georgia,Asia,England,Europe,England,Teddy Sheringham,15,FALSE,FALSE
11/9/1996,Georgia,Asia,England,Europe,England,Les Ferdinand,37,FALSE,FALSE
11/9/1996,Germany,Europe,Northern Ireland,Europe,Northern Ireland,Gerry Taggart,38,FALSE,FALSE
11/9/1996,Germany,Europe,Northern Ireland,Europe,Germany,Andreas Möller,40,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Dejvi Glavevski,8,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Dejvi Glavevski,12,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Gjorgji Hristov,23,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Mitko Stojkovski,30,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Mitko Stojkovski,43,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Toni Micevski,45,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Toni Micevski,49,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Saša Ćirić,53,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Dejvi Glavevski,60,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,Liechtenstein,Franz Schädler,78,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Saša Ćirić,87,FALSE,FALSE
11/9/1996,Liechtenstein,Europe,North Macedonia,Europe,North Macedonia,Vančo Micevski,90,FALSE,FALSE
11/9/1996,Morocco,Africa,Sierra Leone,Africa,Morocco,El Arbi Hababi,16,FALSE,FALSE
11/9/1996,Morocco,Africa,Sierra Leone,Africa,Morocco,Khalid Raghib,50,FALSE,FALSE
11/9/1996,Morocco,Africa,Sierra Leone,Africa,Morocco,Khalid Raghib,55,FALSE,FALSE
11/9/1996,Morocco,Africa,Sierra Leone,Africa,Morocco,Youssef Fertout,57,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Netherlands,Dennis Bergkamp,21,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Netherlands,Ronald de Boer,32,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Netherlands,Wim Jonk,33,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Wales,Dean Saunders,38,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Netherlands,Frank de Boer,43,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Netherlands,Phillip Cocu,60,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Netherlands,Dennis Bergkamp,72,FALSE,FALSE
11/9/1996,Netherlands,Europe,Wales,Europe,Netherlands,Dennis Bergkamp,78,FALSE,FALSE
11/9/1996,Nigeria,Africa,Burkina Faso,Africa,Nigeria,Daniel Amokachi,46,FALSE,FALSE
11/9/1996,Nigeria,Africa,Burkina Faso,Africa,Nigeria,Daniel Amokachi,77,FALSE,FALSE
11/9/1996,Portugal,Europe,Ukraine,Europe,Portugal,Fernando Couto,58,FALSE,FALSE
11/9/1996,South Africa,Africa,DR Congo,Africa,South Africa,Phil Masinga,67,FALSE,FALSE
11/10/1996,Angola,Africa,Zimbabwe,Africa,Angola,Akwá,43,FALSE,FALSE
11/10/1996,Angola,Africa,Zimbabwe,Africa,Angola,Paulo António Alves,51,FALSE,FALSE
11/10/1996,Angola,Africa,Zimbabwe,Africa,Zimbabwe,Adam Ndlovu,60,FALSE,FALSE
11/10/1996,Azerbaijan,Asia,Hungary,Europe,Hungary,Elek Nyilas,42,FALSE,FALSE
11/10/1996,Azerbaijan,Asia,Hungary,Europe,Hungary,Elek Nyilas,67,FALSE,TRUE
11/10/1996,Azerbaijan,Asia,Hungary,Europe,Hungary,Flórián Urbán,77,FALSE,FALSE
11/10/1996,Bolivia,South America,Colombia,South America,Bolivia,Marco Sandy,15,FALSE,FALSE
11/10/1996,Bolivia,South America,Colombia,South America,Colombia,Mauricio Serna,40,FALSE,TRUE
11/10/1996,Bolivia,South America,Colombia,South America,Bolivia,Jaime Moreno,44,FALSE,FALSE
11/10/1996,Bolivia,South America,Colombia,South America,Colombia,Freddy Rincón,54,FALSE,FALSE
11/10/1996,Congo,Africa,Zambia,Africa,Congo,Olivier Niere,86,FALSE,FALSE
11/10/1996,Costa Rica,North America,Guatemala,North America,Costa Rica,Javier Delgado,53,FALSE,FALSE
11/10/1996,Costa Rica,North America,Guatemala,North America,Costa Rica,Hernán Medford,74,FALSE,FALSE
11/10/1996,Costa Rica,North America,Guatemala,North America,Costa Rica,Rónald Gómez,78,FALSE,FALSE
11/10/1996,Croatia,Europe,Greece,Europe,Greece,Demis Nikolaidis,9,FALSE,FALSE
11/10/1996,Croatia,Europe,Greece,Europe,Croatia,Davor Šuker,44,FALSE,FALSE
11/10/1996,Cyprus,Europe,Israel,Asia,Cyprus,Siniša Gogić,9,FALSE,FALSE
11/10/1996,Cyprus,Europe,Israel,Asia,Cyprus,Siniša Gogić,15,FALSE,TRUE
11/10/1996,El Salvador,North America,Panama,North America,Panama,Jorge Dely Valdés,11,FALSE,FALSE
11/10/1996,El Salvador,North America,Panama,North America,El Salvador,Raúl Díaz Arce,43,FALSE,FALSE
11/10/1996,El Salvador,North America,Panama,North America,El Salvador,Wilfredo Iraheta Sanabria,68,FALSE,FALSE
11/10/1996,El Salvador,North America,Panama,North America,Panama,Jorge Dely Valdés,86,FALSE,FALSE
11/10/1996,El Salvador,North America,Panama,North America,El Salvador,Giovanni Trigueros,88,FALSE,FALSE
11/10/1996,Gabon,Africa,Ghana,Africa,Gabon,Théodore Nzue Nguema,65,FALSE,FALSE
11/10/1996,Gabon,Africa,Ghana,Africa,Ghana,Abedi Pele,66,FALSE,FALSE
11/10/1996,Guinea,Africa,Kenya,Africa,Kenya,Mike Okoth Origi,12,FALSE,FALSE
11/10/1996,Guinea,Africa,Kenya,Africa,Guinea,Titi Camara,17,FALSE,FALSE
11/10/1996,Guinea,Africa,Kenya,Africa,Guinea,Fodé Camara,34,FALSE,FALSE
11/10/1996,Guinea,Africa,Kenya,Africa,Guinea,Momo Soumah,82,FALSE,FALSE
11/10/1996,Jamaica,North America,Saint Vincent and the Grenadines,North America,Jamaica,Theodore Whitmore,10,FALSE,FALSE
11/10/1996,Jamaica,North America,Saint Vincent and the Grenadines,North America,Jamaica,Theodore Whitmore,13,FALSE,FALSE
11/10/1996,Jamaica,North America,Saint Vincent and the Grenadines,North America,Jamaica,Paul Young,64,FALSE,FALSE
11/10/1996,Jamaica,North America,Saint Vincent and the Grenadines,North America,Jamaica,Peter Cargill,66,FALSE,FALSE
11/10/1996,Jamaica,North America,Saint Vincent and the Grenadines,North America,Jamaica,Stephen Malcolm,84,FALSE,FALSE
11/10/1996,Liberia,Africa,Tunisia,Africa,Tunisia,Riadh Jelassi,87,FALSE,FALSE
11/10/1996,Luxembourg,Europe,Russia,Europe/Asia,Russia,Andrey Tikhonov,34,FALSE,FALSE
11/10/1996,Luxembourg,Europe,Russia,Europe/Asia,Russia,Andrei Kanchelskis,38,FALSE,FALSE
11/10/1996,Luxembourg,Europe,Russia,Europe/Asia,Russia,Vladimir Beschastnykh,50,FALSE,FALSE
11/10/1996,Luxembourg,Europe,Russia,Europe/Asia,Russia,Valery Karpin,77,FALSE,FALSE
11/10/1996,Paraguay,South America,Ecuador,South America,Paraguay,Miguel Ángel Benítez,24,FALSE,FALSE
11/10/1996,Peru,South America,Venezuela,South America,Peru,Juan Reynoso Guzmán,4,FALSE,FALSE
11/10/1996,Peru,South America,Venezuela,South America,Peru,Julio César de Andrade Moura,21,FALSE,FALSE
11/10/1996,Peru,South America,Venezuela,South America,Peru,Roberto Palacios,49,FALSE,FALSE
11/10/1996,Peru,South America,Venezuela,South America,Venezuela,Gerson Díaz,78,FALSE,FALSE
11/10/1996,Peru,South America,Venezuela,South America,Peru,Roberto Palacios,83,FALSE,FALSE
11/10/1996,Poland,Europe,Moldova,Europe,Poland,Henryk Bałuszyński,4,FALSE,FALSE
11/10/1996,Poland,Europe,Moldova,Europe,Poland,Krzysztof Warzycha,77,FALSE,TRUE
11/10/1996,Poland,Europe,Moldova,Europe,Moldova,Serghei Cleșcenco,83,FALSE,TRUE
11/10/1996,Scotland,Europe,Sweden,Europe,Scotland,John McGinlay,7,FALSE,FALSE
11/10/1996,Serbia,Europe,Czech Republic,Europe,Serbia,Predrag Mijatović,18,FALSE,FALSE
